Model;Benchmark;Sprache;Pearson;Spearman;avg time;min time;max time;dim vector

#en_core_web_lg;STSB;de;0.2722044835226172;0.35655839056194366;0.0037394903821311803;0.0;0.10007095336914062;300
en_core_web_lg;STSB;en;0.5046830081052567;0.5328960864159766;0.003993760644146066;0.0019435882568359375;0.013653993606567383;300
en_core_web_lg;SICK;en;0.6660928019995933;0.5673070527670022;0.003412178387223527;0.0;0.056365013122558594;300
de_core_news_lg;STSB;de;0.36326273653326346;0.37618662033823996;0.003955634506864022;0.0019085407257080078;0.009037017822265625;300
de_core_news_lg;SICK;de;0.4902818217914065;0.4731531718008467;0.0033522620114168635;0.0;0.019962072372436523;300

#cc.en.300.bin;STSB;de;0.45468756740697597;0.47335746145934626;0.0038270492122468667;0.0;0.09000349044799805;300
cc.en.300.bin;STSB;en;0.39409975416602666;0.401801567051451;0.0038032468043934374;0.0;0.024824142456054688;300
cc.en.300.bin;SICK;en;0.5048702194597512;0.4854554650311026;0.0035556508321061744;0.0;0.08159756660461426;300
cc.de.300.bin;STSB;de;0.48866926563562724;0.5169898028731622;0.0040150055964898335;0.0019533634185791016;0.012643575668334961;300
cc.de.300.bin;SICK;de;0.5859940674208389;0.5309753872340056;0.003443628864801337;0.0;0.019016027450561523;300

#word2vec-google-news-300;STSB;de;0.2182699984346343;0.21378376006745192;0.0046859658724622685;0.0024614334106445312;0.10049962997436523;300
#word2vec-google-news-300;SICK;de;0.2576345282921063;0.29327528778282613;0.004895011535929663;0.0023300647735595703;0.037772417068481445;300
word2vec-google-news-300;STSB;en;0.6837688053512861;0.6534225075565602;0.004671701634686317;0.0025463104248046875;0.05092453956604004;300
word2vec-google-news-300;SICK;en;0.7283554026349034;0.6212442772920793;0.006352758004104093;0.002632617950439453;0.1398766040802002;300

bert-base-multilingual-cased;STSB;en;0.4445808231062373;0.439277913327937;0.046476702738206144;0.0272982120513916;0.49495482444763184;768
bert-base-multilingual-cased;STSB;de;0.5144522760700567;0.5121334561999;0.0481324036695032;0.023685693740844727;0.2828648090362549;768
bert-base-multilingual-cased;SICK;en;0.567786320097968;0.5371977579678404;0.04705227248748167;0.023165464401245117;0.18204116821289062;768
bert-base-multilingual-cased;SICK;de;0.5255424328250939;0.5088650444573388;0.03542774571649039;0.022584199905395508;0.1121368408203125;768
bert-base-cased;STSB;en;0.5182574881221514;0.5058544743095421;0.035222512292928256;0.023433446884155273;0.09282660484313965;768
bert-base-cased;SICK;en;0.6237042825483511;0.5981293833853946;0.03336938587310536;0.021915197372436523;0.05954909324645996;768
bert-base-german-cased;STSB;de;0.5974851415176685;0.5850702470374568;0.05783158684417944;0.02290058135986328;0.19852709770202637;768
bert-base-german-cased;SICK;de;0.6065477717698319;0.5910740267436604;0.03375362217504356;0.021516084671020508;0.07061409950256348;768

paraphrase-multilingual-mpnet-base-v2;STSB;en;0.8659398203154559;0.8686671589228177;0.037719694812042494;0.022454023361206055;0.10657072067260742;768
paraphrase-multilingual-mpnet-base-v2;STSB;de;0.8357301086143739;0.8357365247028362;0.038982253081277944;0.024580717086791992;0.09494781494140625;768
paraphrase-multilingual-mpnet-base-v2;SICK;en;0.84163642428342;0.7962205935752336;0.039483211870770855;0.023785829544067383;0.14504027366638184;768
paraphrase-multilingual-mpnet-base-v2;SICK;de;0.8155114575934985;0.7676426832013491;0.04383147393298963;0.01672077178955078;3.3670475482940674;768

paraphrase-xlm-r-multilingual-v1;STSB;en;0.8393531449524468;0.8301441098686023;0.0356396106060976;0.022797107696533203;0.07857179641723633;768
paraphrase-xlm-r-multilingual-v1;STSB;de;0.8128149480364948;0.8070696269425013;0.037210385681690855;0.023152828216552734;0.09245514869689941;768
paraphrase-xlm-r-multilingual-v1;SICK;en;0.8354178778602381;0.763827386239258;0.055047721832531316;0.02593708038330078;0.4410824775695801;768
paraphrase-xlm-r-multilingual-v1;SICK;de;0.8240892886426493;0.7587878321098845;0.043741152187338574;0.02358245849609375;0.676116943359375;768

mUSE;STSB;en;0.8118615187325836;0.796511510107243;0.005941285239251941;0.0034868717193603516;0.7265524864196777;512
mUSE;STSB;de;0.7754920118895685;0.7537970719598707;0.006106835357779201;0.003847837448120117;0.013019323348999023;512
mUSE;SICK;en;0.8040545365775233;0.7443059592351303;0.005109098126451883;0.003384113311767578;0.013231039047241211;512
mUSE;SICK;de;0.7744732838421204;0.7123715571664463;0.006547842883650625;0.003985881805419922;1.0548698902130127;512

LASER;STSB;en;0.7088559590320286;0.7024191336035688;0.027290240821321088;0.009302616119384766;0.12331533432006836;1024
LASER;STSB;de;0.7136812482239944;0.7059882509295514;0.031353507679703616;0.009587526321411133;0.14135527610778809;1024
LASER;SICK;en;0.6676996694454249;0.6207960341714971;0.02634725811330888;0.010968208312988281;0.06881308555603027;1024
LASER;SICK;de;0.6824843371717219;0.6466919559905585;0.025041811725842793;0.0024111270904541016;0.12518548965454102;1024

LaBSE;STSB;en;0.7331720155280075;0.7376014621616137;0.05205856434272073;0.03005194664001465;0.13391900062561035;768
LaBSE;STSB;de;0.7354783901199516;0.7351919798421401;0.07282063258595084;0.03634309768676758;0.2052316665649414;768
LaBSE;SICK;en;0.73457364167066;0.6999186673684473;0.04806230988545253;0.022896289825439453;0.5020473003387451;768
LaBSE;SICK;de;0.7348836085076675;0.6891508112320501;0.03601485564651789;0.022778034210205078;0.09623432159423828;768

distiluse-base-multilingual-cased-v2;STSB;en;0.8084642049856244;0.7976311160071856;0.019516123725575433;0.011710882186889648;0.041947126388549805;512
distiluse-base-multilingual-cased-v2;STSB;de;0.7636357729329319;0.7500630623237396;0.02043173834854218;0.012388229370117188;0.0519413948059082;512
distiluse-base-multilingual-cased-v2;SICK;en;0.8118466713723005;0.7524738966181136;0.017011124369384085;0.01090383529663086;0.04629230499267578;512
distiluse-base-multilingual-cased-v2;SICK;de;0.7697850465657913;0.7208840289835423;0.022669093443377808;0.010971784591674805;0.10875797271728516;512

paraphrase-multilingual-MiniLM-L12-v2;STSB;en;0.853138866568287;0.8493173362965458;0.016822300053438655;0.009543895721435547;0.03484368324279785;384
paraphrase-multilingual-MiniLM-L12-v2;STSB;de;0.8047086286432642;0.7974240082554883;0.022565947357680877;0.01100015640258789;0.06990838050842285;384
paraphrase-multilingual-MiniLM-L12-v2;SICK;en;0.849828557614055;0.7960670285349049;0.01760169770934496;0.010589838027954102;0.1891183853149414;384
paraphrase-multilingual-MiniLM-L12-v2;SICK;de;0.8076297864439616;0.7469968549389884;0.017899814119893307;0.010823249816894531;0.24527621269226074;384